Experiment,Epochs,Batch Size,Learning Rate,Warmup Steps,Loss Function,MRR,nDCG,Precision@1,Time(s)
84,5,8,2e-05,200,CosineSimilarityLoss,0.5390549061504945,0.645938080114623,0.3541666666666667,25.722296714782715
85,5,8,5e-05,50,MultipleNegativesRankingLoss,0.6710896164021164,0.7491086702793837,0.5416666666666666,25.139607191085815
86,5,8,5e-05,50,CosineSimilarityLoss,0.5055681875994377,0.6189458817243576,0.3333333333333333,22.841283559799194
87,5,8,5e-05,100,MultipleNegativesRankingLoss,0.6785874426499426,0.7524812643726667,0.5625,25.57579278945923
88,5,8,5e-05,100,CosineSimilarityLoss,0.5448315658334041,0.6487561678513885,0.3958333333333333,22.93803358078003
89,5,8,5e-05,200,MultipleNegativesRankingLoss,0.6872812950937951,0.7621973122780522,0.5416666666666666,22.96499538421631
90,5,8,5e-05,200,CosineSimilarityLoss,0.5306595688489071,0.6387380488837758,0.3541666666666667,25.266875982284546
91,5,16,1e-05,50,MultipleNegativesRankingLoss,0.6720906986531987,0.7509640033046404,0.5208333333333334,19.05227565765381
92,5,16,1e-05,50,CosineSimilarityLoss,0.5437577468827469,0.6492029260843992,0.375,19.005142211914062
93,5,16,1e-05,100,MultipleNegativesRankingLoss,0.6398396164021164,0.7263380779574314,0.4791666666666667,21.26343059539795
94,5,16,1e-05,100,CosineSimilarityLoss,0.5378957847707847,0.6444796398282051,0.375,19.106462001800537
95,5,16,1e-05,200,MultipleNegativesRankingLoss,0.6363425925925926,0.7232025805860758,0.4791666666666667,19.0605788230896
96,5,16,1e-05,200,CosineSimilarityLoss,0.5473965848965848,0.6519040310134491,0.3958333333333333,24.976815700531006
97,5,16,2e-05,50,MultipleNegativesRankingLoss,0.7158655002405002,0.7840305007994175,0.5833333333333334,50.36491799354553
98,5,16,2e-05,50,CosineSimilarityLoss,0.5487122626828509,0.6530446152513226,0.375,50.21983814239502
99,5,16,2e-05,100,MultipleNegativesRankingLoss,0.6923102360602361,0.7664984203875065,0.5416666666666666,49.99870800971985
100,5,16,2e-05,100,CosineSimilarityLoss,0.5272522905335405,0.6372301261872053,0.3333333333333333,51.06881284713745
101,5,16,2e-05,200,MultipleNegativesRankingLoss,0.6398396164021164,0.7263380779574314,0.4791666666666667,50.71022295951843
102,5,16,2e-05,200,CosineSimilarityLoss,0.5378957847707847,0.6444796398282051,0.375,50.68813920021057
103,5,16,5e-05,50,MultipleNegativesRankingLoss,0.7136065323565323,0.7817053105682135,0.5833333333333334,51.1826856136322
104,5,16,5e-05,50,CosineSimilarityLoss,0.5263683739327122,0.6337351373707255,0.375,50.723812103271484
105,5,16,5e-05,100,MultipleNegativesRankingLoss,0.7062499999999999,0.7779614273458719,0.5416666666666666,51.1796510219574
106,5,16,5e-05,100,CosineSimilarityLoss,0.5257151124338625,0.6346041963746151,0.3541666666666667,50.73552179336548
107,5,16,5e-05,200,MultipleNegativesRankingLoss,0.7087632275132275,0.7790087883671125,0.5625,50.581536531448364
108,5,16,5e-05,200,CosineSimilarityLoss,0.5423783188489071,0.6476975974316398,0.375,49.77801203727722
